"Zone";"Date";"Region";"Prov";"nMortal";"nGraveInj";"nMinorInj";"nInv";"nPedest";"nBikes";"nMotor";"Vel";"Escaped";"Weather";"TrafficInf";"WeatherInf";"LightInf";"VisionInf";"Intersect";"Surface";"DayGroup";"HourGroup";"AccType"
"Road";2010-06-09;"Bages";"Barcelona";0;1;0;1;0;0;1;"UnknownVel";"No";"StrongRain";"No";"No";"No";"No";"InSection";"Wet";"Weekday";"Morning";"NARoadExit"
"Urban";2010-01-27;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"100";"Yes";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2010-05-24;"Baix Emporda";"Girona";0;1;3;3;0;0;3;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2010-07-31;"Selva";"Girona";0;3;1;3;0;0;3;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2010-08-02;"Bages";"Barcelona";0;1;0;2;1;0;1;"100";"No";"WeakRain";"No";"No";"No";"No";"Arriving";"Wet";"Weekday";"Afternoon";"RunOver"
"Urban";2010-09-23;"Tarragones";"Tarragona";0;1;1;2;0;0;2;"UnknownVel";"UnknownEscaped";"Good";"No";"No";"No";"UnknownVisionInf";"InSection";"Dry&Clean";"Weekday";"Night";"Vehicle/sHitVehicle/s"
"Urban";2010-07-26;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Night";"Vehicle/sHitVehicle/s"
"Road";2010-05-12;"Alt Penedes";"Barcelona";4;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2010-03-27;"Valles Occidental";"Barcelona";0;1;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"VehicleHitObstacle"
"Urban";2010-12-04;"Baix Ebre";"Tarragona";0;1;0;3;0;0;3;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2010-08-19;"Girones";"Girona";0;1;0;2;0;1;1;"70";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2010-07-28;"Osona";"Barcelona";0;1;0;2;1;0;1;"UnknownVel";"No";"Good";"No";"No";"No";"Yes";"InSection";"Dry&Clean";"Weekday";"Morning";"RunOver"
"Road";2010-08-16;"Bages";"Barcelona";1;1;0;2;0;0;2;"80";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2010-06-15;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"100";"No";"WeakRain";"Yes";"No";"No";"No";"InSection";"Wet";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2010-07-31;"Valles Oriental";"Barcelona";1;0;1;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"NARoadExit"
"Road";2010-07-23;"Osona";"Barcelona";0;2;1;2;0;0;2;"70";"No";"WeakRain";"No";"No";"No";"No";"InSection";"Wet";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Road";2010-11-02;"Valles Occidental";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Road";2010-02-10;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"80";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2010-10-29;"Pla d'Urgell";"Lleida";1;0;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"VehicleHitObstacle"
"Road";2010-07-25;"Maresme";"Barcelona";1;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Night";"Vehicle/sHitVehicle/s"
"Road";2010-05-15;"Valles Occidental";"Barcelona";0;1;3;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Morning";"Vehicle/sHitVehicle/s"
"Road";2010-03-01;"Valles Occidental";"Barcelona";0;1;0;3;0;0;3;"80";"No";"Good";"Yes";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2010-01-16;"Barcelones";"Barcelona";0;1;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Morning";"VehicleHitObstacle"
