"Zone";"Date";"Region";"Prov";"nMortal";"nGraveInj";"nMinorInj";"nInv";"nPedest";"nBikes";"nMotor";"Vel";"Escaped";"Weather";"TrafficInf";"WeatherInf";"LightInf";"VisionInf";"Intersect";"Surface";"DayGroup";"HourGroup";"AccType"
"Road";2012-12-21;"Valles Occidental";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2012-11-07;"Baix Llobregat";"Barcelona";0;1;0;2;0;0;2;"UnknownVel";"No";"Good";"No";"No";"No";"UnknownVisionInf";"InSection";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Road";2012-04-19;"Segria";"Lleida";0;1;0;1;0;0;1;"100";"No";"Good";"No";"No";"Yes";"Yes";"InSection";"Dry&Clean";"Weekday";"Night";"VehicleHitObstacle"
"Road";2012-04-02;"Osona";"Barcelona";0;1;0;2;1;0;1;"40";"No";"Good";"No";"No";"No";"No";"Arriving";"Dry&Clean";"Weekday";"Afternoon";"RunOver"
"Road";2012-02-29;"Tarragones";"Tarragona";0;1;1;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"NARoadExit"
"Urban";2012-08-23;"Segria";"Lleida";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2012-10-31;"Garrotxa";"Girona";0;1;0;2;1;0;1;"50";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Rollover"
"Road";2012-06-21;"Cerdanya";"Girona";0;1;0;2;0;0;2;"70";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2012-09-29;"Girones";"Girona";0;1;2;2;0;0;2;"70";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2012-03-03;"Alt Penedes";"Barcelona";1;1;1;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2012-07-06;"Valles Occidental";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2012-08-22;"Baix Ebre";"Tarragona";0;1;0;2;0;1;1;"100";"No";"Good";"No";"No";"No";"Yes";"Inside";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2012-11-17;"Garrigues";"Lleida";1;1;5;3;0;0;3;"100";"No";"WeakRain";"No";"Yes";"No";"Yes";"InSection";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2012-06-07;"Barcelones";"Barcelona";0;1;3;2;0;0;2;"UnknownVel";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Night";"Vehicle/sHitVehicle/s"
"Urban";2012-10-07;"Tarragones";"Tarragona";0;1;2;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"RunOver"
"Road";2012-08-10;"Baix Llobregat";"Barcelona";0;4;2;4;0;0;4;"120";"No";"Good";"No";"No";"Yes";"Yes";"InSection";"Dry&Clean";"Weekend";"Night";"Vehicle/sHitVehicle/s"
"Urban";2012-11-22;"Valles Occidental";"Barcelona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"RunOver"
"Road";2012-07-24;"Alt Urgell";"Lleida";0;1;3;3;0;0;3;"60";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2012-01-24;"Anoia";"Barcelona";0;2;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2012-09-22;"Barcelones";"Barcelona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Afternoon";"RunOver"
"Urban";2012-10-16;"Osona";"Barcelona";0;1;0;2;1;0;1;"UnknownVel";"No";"Good";"No";"No";"No";"UnknownVisionInf";"InSection";"Dry&Clean";"Weekday";"Morning";"RunOver"
"Urban";2012-02-21;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Road";2012-01-22;"Baix Llobregat";"Barcelona";0;1;1;2;0;0;2;"50";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Morning";"NARoadExit"
"Urban";2012-12-22;"Maresme";"Barcelona";0;1;1;2;0;0;2;"40";"No";"Good";"No";"No";"No";"UnknownVisionInf";"Inside";"Dry&Clean";"Weekend";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2012-03-30;"Barcelones";"Barcelona";0;1;1;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2012-05-12;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2012-04-07;"Barcelones";"Barcelona";0;1;0;2;1;0;1;"20";"No";"Good";"No";"No";"No";"Yes";"InSection";"Dry&Clean";"Weekend";"Afternoon";"RunOver"
"Urban";2012-08-25;"Garraf";"Barcelona";0;1;0;2;1;0;1;"UnknownVel";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Morning";"RunOver"
"Urban";2012-11-28;"Barcelones";"Barcelona";0;1;1;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Night";"Vehicle/sHitVehicle/s"
"Urban";2012-07-25;"Valles Occidental";"Barcelona";0;1;0;2;0;1;1;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2012-08-22;"Montsia";"Tarragona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"RunOver"
"Road";2012-09-09;"Bages";"Barcelona";0;1;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Morning";"Rollover"
"Urban";2012-07-31;"Valles Occidental";"Barcelona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Night";"RunOver"
"Urban";2012-08-17;"Barcelones";"Barcelona";0;1;0;2;1;0;1;"UnknownVel";"No";"Good";"No";"No";"No";"UnknownVisionInf";"Inside";"Dry&Clean";"Weekend";"Afternoon";"RunOver"
"Urban";2012-11-29;"Valles Occidental";"Barcelona";0;1;1;2;0;0;2;"UnknownVel";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2012-07-08;"Valles Occidental";"Barcelona";0;2;2;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Morning";"Vehicle/sHitVehicle/s"
"Road";2012-04-04;"Baix Ebre";"Tarragona";0;1;1;3;0;0;3;"100";"No";"Good";"Yes";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"VehicleHitObstacle"
"Road";2012-09-01;"Valles Occidental";"Barcelona";1;0;1;2;0;0;2;"100";"No";"Good";"No";"No";"Yes";"No";"InSection";"Dry&Clean";"Weekend";"Night";"Vehicle/sHitVehicle/s"
"Urban";2012-01-20;"Girones";"Girona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"Rollover"
"Urban";2012-12-29;"Bergueda";"Barcelona";1;0;0;2;0;0;1;"100";"No";"Good";"No";"No";"Yes";"No";"Arriving";"Dry&Clean";"Weekend";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2012-09-21;"Maresme";"Barcelona";1;0;0;2;1;0;1;"UnknownVel";"No";"Good";"No";"No";"No";"UnknownVisionInf";"Inside";"Dry&Clean";"Weekday";"Morning";"RunOver"
"Road";2012-12-07;"Baix Ebre";"Tarragona";0;1;0;2;0;0;2;"60";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Road";2012-02-02;"Pla d'Urgell";"Lleida";0;1;0;1;0;0;1;"UnknownVel";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"NARoadExit"
"Road";2012-10-13;"Pallars Sobira";"Lleida";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Night";"RunOver"
"Urban";2012-07-28;"Alt Emporda";"Girona";0;1;0;2;0;0;2;"UnknownVel";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Night";"Vehicle/sHitVehicle/s"
"Urban";2012-04-18;"Valles Occidental";"Barcelona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"RunOver"
"Road";2012-02-01;"Valles Occidental";"Barcelona";1;1;0;2;0;0;2;"100";"No";"WeakRain";"No";"No";"No";"No";"InSection";"Wet";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2012-11-20;"Baix Llobregat";"Barcelona";0;1;3;3;0;0;3;"100";"No";"Good";"No";"No";"No";"No";"Arriving";"Dry&Clean";"Weekday";"Afternoon";"VehicleHitObstacle"
"Urban";2012-11-12;"Valles Occidental";"Barcelona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"RunOver"
"Road";2012-08-04;"Alt Penedes";"Barcelona";0;1;1;2;0;2;0;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Morning";"Rollover"
"Road";2012-06-27;"Alt Emporda";"Girona";1;1;4;3;0;0;3;"80";"No";"Good";"No";"No";"No";"No";"Arriving";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2012-07-04;"Baix Camp";"Tarragona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2012-03-07;"Barcelones";"Barcelona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"Yes";"Inside";"Dry&Clean";"Weekday";"Afternoon";"RunOver"
"Urban";2012-12-01;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Night";"Vehicle/sHitVehicle/s"
"Road";2012-01-05;"Pla de l'Estany";"Girona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2012-11-20;"Girones";"Girona";0;1;1;2;0;0;2;"60";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"NARoadExit"
"Road";2012-09-25;"Valles Oriental";"Barcelona";0;1;2;2;0;0;2;"100";"No";"Good";"No";"No";"Yes";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2012-05-21;"Conca de Barbera";"Tarragona";1;1;1;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2012-06-05;"Valles Occidental";"Barcelona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"RunOver"
"Urban";2012-11-22;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2012-06-06;"Valles Occidental";"Barcelona";0;1;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"NARoadExit"
"Urban";2012-03-14;"Bages";"Barcelona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Morning";"RunOver"
"Urban";2012-06-29;"Baix Camp";"Tarragona";0;1;0;2;0;1;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"Rollover"
"Road";2012-08-16;"Alt Penedes";"Barcelona";0;1;0;1;0;1;0;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Rollover"
"Urban";2012-09-07;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2012-11-28;"Montsia";"Tarragona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"RunOver"
"Urban";2012-07-01;"Bages";"Barcelona";0;1;0;1;0;0;1;"100";"No";"WeakRain";"No";"Yes";"No";"No";"InSection";"Wet";"Weekend";"Afternoon";"Rollover"
"Urban";2012-10-08;"Baix Llobregat";"Barcelona";1;0;0;2;0;1;1;"UnknownVel";"No";"Good";"No";"No";"No";"UnknownVisionInf";"Inside";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2012-09-27;"Baix Ebre";"Tarragona";0;1;0;2;1;0;1;"50";"No";"Good";"No";"No";"No";"Yes";"InSection";"Dry&Clean";"Weekday";"Morning";"RunOver"
"Urban";2012-10-29;"Valles Occidental";"Barcelona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"RunOver"
"Urban";2012-10-10;"Valles Oriental";"Barcelona";0;1;0;2;1;0;1;"30";"No";"Good";"No";"No";"No";"UnknownVisionInf";"InSection";"Dry&Clean";"Weekday";"Afternoon";"RunOver"
"Urban";2012-03-26;"Barcelones";"Barcelona";0;2;0;3;0;0;3;"100";"No";"Good";"Yes";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Road";2012-05-06;"Valles Oriental";"Barcelona";0;1;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Morning";"NARoadExit"
"Road";2012-04-07;"Tarragones";"Tarragona";0;1;1;3;0;2;1;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Morning";"Rollover"
"Road";2012-02-06;"Pallars Jussa";"Lleida";0;2;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Wet";"Weekday";"Afternoon";"NARoadExit"
"Road";2012-09-09;"Segria";"Lleida";0;1;3;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2012-09-15;"Segria";"Lleida";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2012-08-10;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2012-04-20;"Baix Llobregat";"Barcelona";0;1;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"VehicleHitObstacle"
"Urban";2012-11-06;"Valles Oriental";"Barcelona";0;1;1;3;2;0;1;"30";"No";"Good";"No";"No";"No";"UnknownVisionInf";"Inside";"Dry&Clean";"Weekday";"Afternoon";"RunOver"
"Urban";2012-02-06;"Tarragones";"Tarragona";0;1;1;4;3;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"RunOver"
"Urban";2012-05-04;"Baix Emporda";"Girona";0;1;0;2;1;0;1;"UnknownVel";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"RunOver"
"Road";2012-10-06;"Montsia";"Tarragona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2012-12-15;"Barcelones";"Barcelona";1;0;1;2;1;0;1;"UnknownVel";"No";"Good";"No";"No";"No";"UnknownVisionInf";"InSection";"Dry&Clean";"Weekend";"Afternoon";"RunOver"
"Urban";2012-07-30;"Alt Emporda";"Girona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2012-12-29;"Alta Ribagorca";"Lleida";0;1;1;3;2;0;1;"50";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"RunOver"
"Road";2012-02-01;"Bergueda";"Barcelona";0;2;1;3;0;0;2;"70";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Rollover"
"Urban";2012-09-29;"Baix Llobregat";"Barcelona";0;1;0;2;0;1;1;"UnknownVel";"Yes";"WeakRain";"No";"No";"No";"UnknownVisionInf";"InSection";"Wet";"Weekend";"Afternoon";"Rollover"
"Urban";2012-12-06;"Segria";"Lleida";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Other"
"Road";2012-08-06;"Bages";"Barcelona";0;1;1;3;0;0;3;"60";"No";"StrongRain";"No";"Yes";"No";"No";"InSection";"Wet";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2012-06-22;"Valles Oriental";"Barcelona";0;1;1;2;0;0;2;"40";"No";"Good";"No";"No";"No";"No";"Arriving";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2012-09-14;"Baix Llobregat";"Barcelona";0;1;0;2;1;0;1;"UnknownVel";"No";"Good";"No";"No";"Yes";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"RunOver"
"Urban";2012-07-17;"Segria";"Lleida";0;1;0;2;1;0;1;"100";"Yes";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"RunOver"
"Road";2012-03-03;"Priorat";"Tarragona";0;2;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"Yes";"InSection";"Dry&Clean";"Weekend";"Afternoon";"Rollover"
"Urban";2012-02-18;"Valles Occidental";"Barcelona";0;1;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Wet";"Weekend";"Morning";"Other"
"Road";2012-04-11;"Valles Oriental";"Barcelona";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2012-10-06;"Barcelones";"Barcelona";0;2;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2012-08-14;"Valles Occidental";"Barcelona";0;1;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"NARoadExit"
"Road";2012-08-19;"Anoia";"Barcelona";0;1;0;1;0;0;1;"UnknownVel";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Morning";"NARoadExit"
"Urban";2012-07-30;"Alt Penedes";"Barcelona";0;1;0;2;1;0;1;"UnknownVel";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Afternoon";"RunOver"
"Urban";2012-06-03;"Osona";"Barcelona";0;1;0;2;0;0;2;"50";"No";"StrongRain";"No";"Yes";"No";"No";"InSection";"Wet";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2012-05-26;"Ripolles";"Girona";0;1;0;2;0;0;2;"50";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Morning";"Vehicle/sHitVehicle/s"
"Road";2012-03-10;"Bages";"Barcelona";2;0;2;3;0;0;3;"80";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2012-03-13;"Valles Occidental";"Barcelona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"Yes";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"RunOver"
"Road";2012-05-24;"Baix Llobregat";"Barcelona";0;1;0;2;0;0;2;"90";"No";"Good";"No";"No";"No";"No";"Arriving";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2012-06-29;"Barcelones";"Barcelona";0;1;0;2;1;0;1;"UnknownVel";"No";"Good";"No";"No";"No";"UnknownVisionInf";"Inside";"Dry&Clean";"Weekday";"Morning";"RunOver"
"Urban";2012-11-06;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"30";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Road";2012-06-15;"Baix Penedes";"Tarragona";1;0;0;2;0;1;1;"100";"Yes";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Road";2012-05-05;"Valles Occidental";"Barcelona";0;1;1;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Morning";"Other"
"Urban";2012-08-11;"Barcelones";"Barcelona";0;1;0;1;0;0;1;"UnknownVel";"No";"Good";"No";"No";"No";"UnknownVisionInf";"InSection";"Dry&Clean";"Weekend";"Afternoon";"VehicleHitObstacle"
"Road";2012-06-04;"Baix Llobregat";"Barcelona";0;1;0;1;0;0;1;"60";"No";"WeakRain";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Night";"VehicleHitObstacle"
"Road";2012-04-06;"Garraf";"Barcelona";0;2;0;2;0;0;2;"40";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"NARoadExit"
"Road";2012-05-02;"Priorat";"Tarragona";1;0;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2012-10-10;"Solsones";"Lleida";1;1;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"NARoadExit"
"Road";2012-06-04;"Pallars Jussa";"Lleida";0;1;0;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"VehicleHitObstacle"
"Urban";2012-10-24;"Barcelones";"Barcelona";0;1;1;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2012-05-19;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"20";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2012-12-29;"Montsia";"Tarragona";0;1;0;2;0;1;1;"70";"Yes";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2012-03-27;"Valles Occidental";"Barcelona";0;1;0;2;0;0;2;"60";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Morning";"Vehicle/sHitVehicle/s"
"Urban";2012-04-12;"Valles Oriental";"Barcelona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"Arriving";"Dry&Clean";"Weekday";"Morning";"RunOver"
"Road";2012-07-08;"Selva";"Girona";0;1;1;2;0;0;2;"100";"No";"Good";"No";"No";"Yes";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2012-11-15;"Pla d'Urgell";"Lleida";0;1;0;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Night";"Vehicle/sHitVehicle/s"
"Urban";2012-05-07;"Baix Penedes";"Tarragona";0;1;0;2;1;0;1;"40";"No";"Good";"No";"No";"No";"UnknownVisionInf";"InSection";"Dry&Clean";"Weekday";"Morning";"RunOver"
"Urban";2012-10-18;"Barcelones";"Barcelona";0;1;0;2;0;0;2;"UnknownVel";"No";"Good";"No";"No";"No";"UnknownVisionInf";"Inside";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Urban";2012-05-16;"Maresme";"Barcelona";0;1;0;2;0;0;2;"UnknownVel";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2012-04-25;"Maresme";"Barcelona";0;1;0;1;0;0;1;"60";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Night";"VehicleHitObstacle"
"Road";2012-06-04;"Baix Llobregat";"Barcelona";0;2;0;2;0;0;2;"120";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Night";"Vehicle/sHitVehicle/s"
"Urban";2012-07-25;"Montsia";"Tarragona";0;1;0;1;0;1;0;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Flooded";"Weekday";"Morning";"Rollover"
"Road";2012-06-15;"Valles Occidental";"Barcelona";0;1;1;2;0;0;2;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2012-11-01;"Solsones";"Lleida";0;1;1;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"NARoadExit"
"Road";2012-06-15;"Baix Penedes";"Tarragona";0;1;1;1;0;0;1;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Afternoon";"NARoadExit"
"Urban";2012-07-07;"Barcelones";"Barcelona";0;1;0;2;1;0;1;"100";"No";"Good";"No";"No";"No";"No";"Inside";"Dry&Clean";"Weekend";"Afternoon";"RunOver"
"Road";2012-04-15;"Valles Oriental";"Barcelona";0;2;3;3;0;0;3;"100";"No";"WeakRain";"No";"No";"No";"No";"InSection";"Wet";"Weekend";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2012-01-04;"Selva";"Girona";1;1;1;7;0;0;7;"100";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekday";"Afternoon";"Vehicle/sHitVehicle/s"
"Road";2012-04-28;"Conca de Barbera";"Tarragona";0;1;0;1;0;1;0;"UnknownVel";"No";"Good";"No";"No";"No";"No";"InSection";"Dry&Clean";"Weekend";"Morning";"NARoadExit"
