zona,dat,nomCom,nomDem,F_MORTS,F_FERITS_GREUS,F_FERITS_LLEUS,F_UNITATS_IMPLICADES,F_VIANANTS_IMPLICADES,F_BICICLETES_IMPLICADES,VEHICLES_MOTOR,C_VELOCITAT_VIA,D_ACC_AMB_FUGA,D_CLIMATOLOGIA,D_INFLUIT_CIRCULACIO,D_INFLUIT_ESTAT_CLIMA,D_INFLUIT_LLUMINOSITAT,D_INFLUIT_VISIBILITAT,D_INTER_SECCIO,D_SUPERFICIE,grupDiaLab,grupHor,tipAcc
Zona urbana,14/03/2013,Valles Oriental,Barcelona,0,1,1,2,1,0,1,100,No,Bon temps,No,No,Si,No,En secció,Sec i net,Feiners,Matí,Atropellament
Zona urbana,12/04/2013,Baix Camp,Tarragona,0,1,0,1,0,1,0,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Altres
Zona urbana,03/05/2013,Valles Occidental,Barcelona,0,1,1,2,0,0,2,40,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,CapDeSetmana,Tarda,Col.lisió de vehicles en marxa
Zona urbana,11/03/2013,Segria,Lleida,1,0,1,2,0,0,2,NA,No,Pluja dèbil,No,No,No,Sense especificar,En secció,Mullat,Feiners,Nit,Col.lisió de vehicles en marxa
Zona urbana,14/01/2013,Baix Llobregat,Barcelona,0,2,0,2,0,0,2,NA,No,Bon temps,No,No,No,Sense especificar,Dintre intersecció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Zona urbana,16/06/2013,Noguera,Lleida,0,1,0,2,1,0,1,100,No,Bon temps,No,No,No,No,En secció,Inundat,CapDeSetmana,Matí,Atropellament
Carretera,22/12/2013,Noguera,Lleida,0,1,1,3,0,0,3,100,No,Bon temps,No,No,Si,No,En secció,Sec i net,CapDeSetmana,Matí,Col.lisió de vehicles en marxa
Zona urbana,02/10/2013,Valles Oriental,Barcelona,0,1,0,2,1,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Atropellament
Carretera,27/05/2013,Baix Camp,Tarragona,0,1,2,5,0,0,5,80,No,Pluja dèbil,No,Si,No,No,En secció,Sec i net,Feiners,Nit,Col.lisió d'un vehicle contra un obstacle de la calcada
Carretera,03/10/2013,Montsia,Tarragona,0,2,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Zona urbana,01/12/2013,Osona,Barcelona,0,1,0,2,1,0,1,NA,No,Bon temps,No,No,No,Sense especificar,Dintre intersecció,Sec i net,CapDeSetmana,Matí,Atropellament
Carretera,11/08/2013,Maresme,Barcelona,0,1,2,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Nit,Col.lisió de vehicles en marxa
Zona urbana,08/07/2013,Tarragones,Tarragona,0,1,0,2,1,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Atropellament
Zona urbana,06/07/2013,Segria,Lleida,0,1,0,2,0,0,2,100,Si,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Matí,Col.lisió de vehicles en marxa
Zona urbana,10/09/2013,Maresme,Barcelona,0,1,0,2,0,0,2,NA,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Nit,Col.lisió de vehicles en marxa
Zona urbana,19/12/2013,Baix Llobregat,Barcelona,0,1,0,2,1,0,1,30,No,Pluja dèbil,No,Si,No,Sense especificar,En secció,Mullat,Feiners,Tarda,Atropellament
Zona urbana,30/10/2013,Baix Llobregat,Barcelona,0,1,0,2,1,0,1,NA,Sense Especificar,Bon temps,No,No,No,Sense especificar,Dintre intersecció,Sec i net,Feiners,Matí,Atropellament
Zona urbana,22/03/2013,Baix Llobregat,Barcelona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Nit,Col.lisió de vehicles en marxa
Carretera,20/09/2013,Alt Emporda,Girona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Zona urbana,06/08/2013,Alt Camp,Tarragona,0,1,0,2,0,0,2,40,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Carretera,30/09/2013,Baix Llobregat,Barcelona,0,1,0,1,0,0,1,40,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Bolcada a la calcada
Zona urbana,18/09/2013,Montsia,Tarragona,0,1,0,2,1,0,1,40,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Atropellament
Carretera,11/07/2013,Valles Oriental,Barcelona,0,1,1,2,0,0,2,100,No,Bon temps,No,Si,No,No,En secció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Zona urbana,20/04/2013,Barcelones,Barcelona,0,1,0,2,0,0,2,NA,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Tarda,Col.lisió de vehicles en marxa
Zona urbana,03/09/2013,Bages,Barcelona,0,1,0,2,1,1,0,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Atropellament
Carretera,02/03/2013,Moianès,Barcelona,1,0,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Tarda,Altres
Carretera,23/09/2013,Baix Emporda,Girona,0,1,1,2,0,0,2,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Carretera,20/02/2013,Segarra,Lleida,0,1,1,1,0,0,1,999,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Altres
Zona urbana,05/11/2013,Baix Llobregat,Barcelona,0,1,1,3,2,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Atropellament
Zona urbana,29/11/2013,Baix Llobregat,Barcelona,0,1,0,2,0,0,2,NA,No,Bon temps,No,No,No,Si,Dintre intersecció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Carretera,07/09/2013,Ribera d'Ebre,Tarragona,0,1,0,2,0,0,2,100,No,Bon temps,No,Si,No,No,En secció,Sec i net,CapDeSetmana,Tarda,Col.lisió de vehicles en marxa
Zona urbana,11/01/2013,Selva,Girona,0,2,0,2,0,0,2,40,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,CapDeSetmana,Tarda,Col.lisió de vehicles en marxa
Carretera,03/10/2013,Alt Emporda,Girona,0,2,0,3,0,0,3,100,No,Pluja dèbil,No,No,Si,No,En secció,Sec i net,Feiners,Nit,Col.lisió d'un vehicle contra un obstacle de la calcada
Zona urbana,20/09/2013,Baix Camp,Tarragona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Carretera,29/01/2013,Girones,Girona,0,2,0,2,0,0,2,80,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Nit,Col.lisió de vehicles en marxa
Carretera,21/03/2013,Valles Oriental,Barcelona,0,1,0,2,0,0,2,60,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Carretera,28/10/2013,Baix Penedes,Tarragona,1,0,0,1,0,0,1,40,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Sortida de la calcada sense especificar
Carretera,28/05/2013,Valles Oriental,Barcelona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Zona urbana,17/12/2013,Barcelones,Barcelona,0,1,2,2,0,0,2,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Zona urbana,17/01/2013,Pla de l'Estany,Girona,0,1,0,2,1,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Atropellament
Zona urbana,08/02/2013,Maresme,Barcelona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Tarda,Col.lisió de vehicles en marxa
Zona urbana,26/10/2013,Valles Oriental,Barcelona,0,1,0,2,1,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Tarda,Atropellament
Zona urbana,31/12/2013,Bages,Barcelona,0,1,1,3,1,0,2,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Matí,Bolcada a la calcada
Zona urbana,15/12/2013,Baix Llobregat,Barcelona,0,1,0,1,0,0,1,NA,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,CapDeSetmana,Matí,Sortida de la calcada sense especificar
Zona urbana,02/12/2013,Valles Oriental,Barcelona,0,1,0,2,0,1,1,NA,No,Bon temps,No,No,No,Sense especificar,Dintre intersecció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Carretera,19/12/2013,Urgell,Lleida,0,2,0,1,0,0,1,100,No,Pluja dèbil,No,Si,Si,No,En secció,Sec i net,Feiners,Tarda,Sortida de la calcada sense especificar
Carretera,24/12/2013,Alta Ribagorca,Lleida,0,1,0,1,0,0,1,999,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Sortida de la calcada sense especificar
Zona urbana,18/11/2013,Segria,Lleida,0,1,0,2,1,0,1,100,No,Pluja forta,No,No,No,No,Arribant o eixint intersecció fins 50m,Sec i net,Feiners,Matí,Atropellament
Zona urbana,05/03/2013,Barcelones,Barcelona,0,1,0,2,0,0,2,100,No,Pluja dèbil,No,No,No,No,Dintre intersecció,Mullat,Feiners,Tarda,Col.lisió de vehicles en marxa
Carretera,03/08/2013,Baix Emporda,Girona,0,2,0,2,0,0,2,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,CapDeSetmana,Matí,Col.lisió de vehicles en marxa
Carretera,10/06/2013,Tarragones,Tarragona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Zona urbana,15/09/2013,Barcelones,Barcelona,0,1,1,2,1,0,1,100,Si,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Nit,Atropellament
Carretera,30/11/2013,Baix Camp,Tarragona,2,2,1,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Tarda,Col.lisió de vehicles en marxa
Zona urbana,03/08/2013,Noguera,Lleida,0,1,0,2,1,0,1,100,No,Bon temps,No,No,No,No,Dintre intersecció,Inundat,CapDeSetmana,Matí,Atropellament
Zona urbana,05/06/2013,Tarragones,Tarragona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Zona urbana,13/05/2013,Garrotxa,Girona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Carretera,03/05/2013,Baix Emporda,Girona,0,1,0,2,0,0,2,70,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,CapDeSetmana,Tarda,Col.lisió de vehicles en marxa
Carretera,09/06/2013,Segria,Lleida,1,1,0,2,0,0,2,100,No,Pluja forta,No,Si,No,No,En secció,Sec i net,CapDeSetmana,Matí,Bolcada a la calcada
Carretera,02/10/2013,Valles Oriental,Barcelona,0,1,0,2,0,0,2,40,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Zona urbana,09/12/2013,Barcelones,Barcelona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Zona urbana,28/05/2013,Tarragones,Tarragona,0,1,0,1,0,1,0,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Nit,Bolcada a la calcada
Carretera,01/11/2013,Valles Occidental,Barcelona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Zona urbana,29/03/2013,Valles Occidental,Barcelona,0,1,0,1,0,1,0,100,No,Bon temps,No,No,No,No,Arribant o eixint intersecció fins 50m,Sec i net,CapDeSetmana,Tarda,Col.lisió d'un vehicle contra un obstacle de la calcada
Zona urbana,11/07/2013,Valles Occidental,Barcelona,0,1,0,2,1,0,1,100,No,Bon temps,No,No,No,No,Arribant o eixint intersecció fins 50m,Sec i net,Feiners,Matí,Atropellament
Zona urbana,01/06/2013,Girones,Girona,0,1,0,1,0,0,1,100,No,Bon temps,No,No,No,No,Arribant o eixint intersecció fins 50m,Sec i net,CapDeSetmana,Nit,Sortida de la calcada sense especificar
Zona urbana,05/09/2013,Barcelones,Barcelona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Carretera,14/11/2013,Valles Occidental,Barcelona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Zona urbana,28/06/2013,Barcelones,Barcelona,0,1,0,2,1,0,1,NA,No,Bon temps,No,No,No,Sense especificar,En secció,Sec i net,Feiners,Tarda,Atropellament
Carretera,26/03/2013,Valles Occidental,Barcelona,1,0,1,2,1,0,1,120,No,Bon temps,No,No,No,Si,En secció,Sec i net,Feiners,Nit,Atropellament
Zona urbana,06/02/2013,Barcelones,Barcelona,0,1,0,2,1,0,1,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Tarda,Atropellament
Zona urbana,20/08/2013,Barcelones,Barcelona,1,0,2,2,1,0,1,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Tarda,Atropellament
Carretera,12/12/2013,Anoia,Barcelona,1,0,1,3,0,0,3,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Zona urbana,20/11/2013,Garrotxa,Girona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,Si,Arribant o eixint intersecció fins 50m,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Zona urbana,27/02/2013,Valles Occidental,Barcelona,0,1,0,2,1,0,1,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Tarda,Atropellament
Zona urbana,31/07/2013,Valles Occidental,Barcelona,0,1,0,2,1,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Atropellament
Zona urbana,28/11/2013,Barcelones,Barcelona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Zona urbana,11/01/2013,Valles Occidental,Barcelona,0,1,0,2,1,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Atropellament
Zona urbana,19/07/2013,Valles Occidental,Barcelona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Zona urbana,14/06/2013,Anoia,Barcelona,0,1,0,2,0,0,2,50,No,Bon temps,No,No,No,Sense especificar,Dintre intersecció,Sec i net,CapDeSetmana,Tarda,Col.lisió de vehicles en marxa
Carretera,30/08/2013,Alt Penedes,Barcelona,0,1,0,1,0,0,1,100,No,Bon temps,No,No,Si,No,En secció,Sec i net,CapDeSetmana,Tarda,Col.lisió d'un vehicle contra un obstacle de la calcada
Zona urbana,31/10/2013,Alt Emporda,Girona,0,1,0,2,1,0,1,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Tarda,Atropellament
Carretera,23/12/2013,Baix Llobregat,Barcelona,0,1,2,4,0,0,4,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Zona urbana,20/06/2013,Tarragones,Tarragona,0,1,0,2,1,0,1,100,No,Bon temps,No,No,Si,No,En secció,Sec i net,Feiners,Tarda,Atropellament
Zona urbana,12/02/2013,Baix Llobregat,Barcelona,0,1,0,2,0,0,2,NA,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Carretera,14/09/2013,Girones,Girona,1,0,0,2,1,0,1,100,No,Bon temps,No,No,Si,No,En secció,Sec i net,CapDeSetmana,Nit,Atropellament
Zona urbana,09/05/2013,Tarragones,Tarragona,0,2,0,2,0,1,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Carretera,14/02/2013,Valles Occidental,Barcelona,0,2,0,4,0,0,4,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Zona urbana,22/05/2013,Barcelones,Barcelona,0,1,0,2,1,0,1,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Matí,Atropellament
Zona urbana,13/11/2013,Barcelones,Barcelona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Carretera,25/07/2013,Valles Occidental,Barcelona,0,1,0,2,1,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Atropellament
Zona urbana,15/10/2013,Baix Camp,Tarragona,0,1,0,1,0,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Nit,Col.lisió d'un vehicle contra un obstacle de la calcada
Carretera,30/08/2013,Alt Camp,Tarragona,0,2,7,7,0,0,7,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Zona urbana,26/04/2013,Tarragones,Tarragona,0,1,0,2,1,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Atropellament
Carretera,04/11/2013,Valles Occidental,Barcelona,0,2,1,2,0,0,2,110,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Sortida de la calcada sense especificar
Carretera,18/10/2013,Maresme,Barcelona,0,1,0,2,0,0,2,80,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Tarda,Col.lisió de vehicles en marxa
Zona urbana,09/03/2013,Baix Llobregat,Barcelona,0,1,0,1,0,0,1,100,No,Bon temps,No,No,No,No,Arribant o eixint intersecció fins 50m,Sec i net,CapDeSetmana,Tarda,Col.lisió d'un vehicle contra un obstacle de la calcada
Zona urbana,28/03/2013,Segria,Lleida,0,1,0,2,1,0,1,NA,No,Bon temps,No,No,No,Sense especificar,En secció,Sec i net,Feiners,Matí,Atropellament
Zona urbana,07/02/2013,Barcelones,Barcelona,0,1,1,2,0,0,2,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Carretera,12/12/2013,Pallars Jussa,Lleida,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Carretera,08/10/2013,Tarragones,Tarragona,1,0,0,2,1,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Nit,Atropellament
Zona urbana,30/09/2013,Girones,Girona,0,1,1,2,1,0,1,30,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Atropellament
Zona urbana,02/07/2013,Baix Llobregat,Barcelona,1,0,0,2,0,0,2,NA,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Carretera,03/08/2013,Valles Oriental,Barcelona,1,0,1,3,0,0,3,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Matí,Col.lisió de vehicles en marxa
Carretera,07/11/2013,Segria,Lleida,0,1,0,2,1,0,1,70,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Atropellament
Zona urbana,04/11/2013,Baix Llobregat,Barcelona,0,1,0,3,0,0,3,NA,No,Bon temps,No,No,No,Sense especificar,Dintre intersecció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Carretera,24/11/2013,Valles Occidental,Barcelona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Nit,Sortida de la calcada sense especificar
Carretera,19/02/2013,Noguera,Lleida,1,0,2,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Carretera,06/04/2013,Segria,Lleida,0,1,0,1,0,0,1,NA,No,Bon temps,No,No,No,Sense especificar,En secció,Sec i net,CapDeSetmana,Matí,Bolcada a la calcada
Carretera,06/07/2013,Tarragones,Tarragona,0,1,0,2,0,0,2,80,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,CapDeSetmana,Matí,Col.lisió de vehicles en marxa
Carretera,14/05/2013,Maresme,Barcelona,0,1,1,2,1,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Atropellament
Carretera,15/05/2013,Valles Occidental,Barcelona,0,1,1,2,1,0,1,100,No,Pluja forta,No,Si,Si,No,En secció,Sec i net,Feiners,Nit,Atropellament
Zona urbana,01/02/2013,Barcelones,Barcelona,0,1,0,1,0,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Tarda,Bolcada a la calcada
Carretera,28/11/2013,Pallars Sobira,Lleida,0,1,0,2,1,0,1,50,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Atropellament
Zona urbana,05/05/2013,Valles Occidental,Barcelona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Matí,Col.lisió de vehicles en marxa
Zona urbana,26/03/2013,Barcelones,Barcelona,0,1,0,2,0,0,2,NA,No,Bon temps,No,No,No,Sense especificar,Dintre intersecció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Zona urbana,21/09/2013,Baix Llobregat,Barcelona,0,1,0,1,0,0,1,NA,Sense Especificar,Bon temps,No,No,No,Sense especificar,En secció,Sec i net,CapDeSetmana,Tarda,Bolcada a la calcada
Zona urbana,30/04/2013,Barcelones,Barcelona,0,1,0,2,1,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Atropellament
Zona urbana,29/11/2013,Barcelones,Barcelona,0,2,0,2,1,0,1,NA,Sense Especificar,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Tarda,Atropellament
Carretera,04/08/2013,Osona,Barcelona,0,1,1,1,0,0,1,80,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Tarda,Col.lisió d'un vehicle contra un obstacle de la calcada
Zona urbana,02/06/2013,Barcelones,Barcelona,0,1,1,2,1,0,1,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,CapDeSetmana,Nit,Atropellament
Zona urbana,13/05/2013,Osona,Barcelona,0,1,0,2,0,1,1,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Carretera,21/10/2013,Valles Occidental,Barcelona,0,2,0,3,0,0,3,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Nit,Col.lisió de vehicles en marxa
Zona urbana,25/01/2013,Baix Camp,Tarragona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Tarda,Col.lisió de vehicles en marxa
Zona urbana,16/01/2013,Barcelones,Barcelona,0,2,1,3,0,0,3,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Zona urbana,05/09/2013,Valles Oriental,Barcelona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Carretera,03/10/2013,Terra Alta,Tarragona,0,2,3,2,0,0,2,100,No,Pluja forta,No,Si,No,No,Arribant o eixint intersecció fins 50m,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Zona urbana,05/07/2013,Baix Llobregat,Barcelona,0,1,0,2,1,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Atropellament
Zona urbana,08/01/2013,Barcelones,Barcelona,0,1,0,1,0,0,1,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Tarda,Col.lisió d'un vehicle contra un obstacle de la calcada
Zona urbana,15/04/2013,Selva,Girona,0,1,0,2,0,0,2,30,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Carretera,06/11/2013,Baix Camp,Tarragona,0,1,0,1,0,0,0,999,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Sortida de la calcada sense especificar
Carretera,15/10/2013,Segria,Lleida,0,2,0,2,0,0,2,80,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Carretera,03/12/2013,Valles Oriental,Barcelona,0,1,0,2,0,0,2,50,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Carretera,17/11/2013,Maresme,Barcelona,0,1,2,2,0,0,2,100,No,Pluja forta,No,Si,No,No,En secció,Sec i net,CapDeSetmana,Matí,Col.lisió de vehicles en marxa
Zona urbana,24/12/2013,Selva,Girona,0,1,0,2,0,0,2,NA,No,Bon temps,No,No,No,Sense especificar,En secció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Zona urbana,11/01/2013,Barcelones,Barcelona,0,1,0,3,0,0,3,NA,No,Bon temps,No,No,No,Sense especificar,Dintre intersecció,Sec i net,Feiners,Matí,Bolcada a la calcada
Carretera,05/05/2013,Alt Emporda,Girona,0,2,0,2,0,0,2,100,No,Bon temps,No,No,No,No,Arribant o eixint intersecció fins 50m,Sec i net,CapDeSetmana,Tarda,Col.lisió de vehicles en marxa
Carretera,23/11/2013,Selva,Girona,0,1,0,1,0,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Tarda,Sortida de la calcada sense especificar
Carretera,14/05/2013,Bages,Barcelona,0,1,0,1,0,1,0,30,No,Pluja dèbil,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Bolcada a la calcada
Carretera,01/03/2013,Ribera d'Ebre,Tarragona,0,1,0,1,0,0,1,100,No,Pluja dèbil,No,Si,No,No,En secció,Sec i net,Feiners,Tarda,Col.lisió d'un vehicle contra un obstacle de la calcada
Carretera,30/08/2013,Alt Camp,Tarragona,0,4,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Zona urbana,20/07/2013,Segria,Lleida,0,1,1,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Tarda,Col.lisió de vehicles en marxa
Carretera,15/11/2013,Pla d'Urgell,Lleida,0,2,0,2,0,0,2,40,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,CapDeSetmana,Tarda,Col.lisió de vehicles en marxa
Zona urbana,03/12/2013,Barcelones,Barcelona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Tarda,Bolcada a la calcada
Zona urbana,19/07/2013,Urgell,Lleida,0,1,0,2,1,0,1,NA,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Tarda,Atropellament
Carretera,20/04/2013,Garrigues,Lleida,0,1,0,1,0,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Nit,Sortida de la calcada sense especificar
