zona,dat,nomCom,nomDem,F_MORTS,F_FERITS_GREUS,F_FERITS_LLEUS,F_UNITATS_IMPLICADES,F_VIANANTS_IMPLICADES,F_BICICLETES_IMPLICADES,VEHICLES_MOTOR,C_VELOCITAT_VIA,D_ACC_AMB_FUGA,D_CLIMATOLOGIA,D_INFLUIT_CIRCULACIO,D_INFLUIT_ESTAT_CLIMA,D_INFLUIT_LLUMINOSITAT,D_INFLUIT_VISIBILITAT,D_INTER_SECCIO,D_SUPERFICIE,grupDiaLab,grupHor,tipAcc
Zona urbana,27/01/2010,Barcelones,Barcelona,0,1,0,2,0,0,2,100,Si,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Carretera,24/05/2010,Baix Emporda,Girona,0,1,3,3,0,0,3,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Carretera,31/07/2010,Selva,Girona,0,3,1,3,0,0,3,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Tarda,Col.lisió de vehicles en marxa
Carretera,02/08/2010,Bages,Barcelona,0,1,0,2,1,0,1,100,No,Pluja dèbil,No,No,No,No,Arribant o eixint intersecció fins 50m,Mullat,Feiners,Tarda,Atropellament
Zona urbana,23/09/2010,Tarragones,Tarragona,0,1,1,2,0,0,2,NA,Sense Especificar,Bon temps,No,No,No,Sense especificar,En secció,Sec i net,Feiners,Nit,Col.lisió de vehicles en marxa
Zona urbana,26/07/2010,Barcelones,Barcelona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Nit,Col.lisió de vehicles en marxa
Carretera,12/05/2010,Alt Penedes,Barcelona,4,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Zona urbana,27/03/2010,Valles Occidental,Barcelona,0,1,0,1,0,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Tarda,Col.lisió d'un vehicle contra un obstacle de la calcada
Zona urbana,04/12/2010,Baix Ebre,Tarragona,0,1,0,3,0,0,3,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,CapDeSetmana,Tarda,Col.lisió de vehicles en marxa
Carretera,19/08/2010,Girones,Girona,0,1,0,2,0,1,1,70,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Zona urbana,28/07/2010,Osona,Barcelona,0,1,0,2,1,0,1,NA,No,Bon temps,No,No,No,Si,En secció,Sec i net,Feiners,Matí,Atropellament
Carretera,16/08/2010,Bages,Barcelona,1,1,0,2,0,0,2,80,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Zona urbana,15/06/2010,Barcelones,Barcelona,0,1,0,2,0,0,2,100,No,Pluja dèbil,Si,No,No,No,En secció,Mullat,Feiners,Matí,Col.lisió de vehicles en marxa
Zona urbana,31/07/2010,Valles Oriental,Barcelona,1,0,1,1,0,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Tarda,Sortida de la calcada sense especificar
Carretera,23/07/2010,Osona,Barcelona,0,2,1,2,0,0,2,70,No,Pluja dèbil,No,No,No,No,En secció,Mullat,Feiners,Matí,Col.lisió de vehicles en marxa
Carretera,02/11/2010,Valles Occidental,Barcelona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Carretera,10/02/2010,Barcelones,Barcelona,0,1,0,2,0,0,2,80,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Carretera,29/10/2010,Pla d'Urgell,Lleida,1,0,0,1,0,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Col.lisió d'un vehicle contra un obstacle de la calcada
Carretera,25/07/2010,Maresme,Barcelona,1,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Nit,Col.lisió de vehicles en marxa
Carretera,15/05/2010,Valles Occidental,Barcelona,0,1,3,2,0,0,2,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,CapDeSetmana,Matí,Col.lisió de vehicles en marxa
Carretera,01/03/2010,Valles Occidental,Barcelona,0,1,0,3,0,0,3,80,No,Bon temps,Si,No,No,No,En secció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Zona urbana,16/01/2010,Barcelones,Barcelona,0,1,0,1,0,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Matí,Col.lisió d'un vehicle contra un obstacle de la calcada
Zona urbana,01/03/2010,Barcelones,Barcelona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Carretera,30/08/2010,Baix Emporda,Girona,0,1,0,4,0,0,4,100,No,Bon temps,No,No,No,Si,En secció,Sec i net,Feiners,Nit,Col.lisió de vehicles en marxa
Zona urbana,08/07/2010,Valles Occidental,Barcelona,0,1,0,2,0,0,2,NA,No,Bon temps,No,No,No,Sense especificar,Dintre intersecció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Carretera,29/03/2010,Valles Occidental,Barcelona,0,1,2,2,0,0,2,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Nit,Col.lisió de vehicles en marxa
Carretera,05/10/2010,Bages,Barcelona,0,1,0,2,0,1,1,40,No,Bon temps,No,No,No,No,Arribant o eixint intersecció fins 50m,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Carretera,06/02/2010,Baix Camp,Tarragona,1,2,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Tarda,Col.lisió de vehicles en marxa
Carretera,27/10/2010,Alt Camp,Tarragona,0,1,2,1,0,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Col.lisió d'un vehicle contra un obstacle de la calcada
Zona urbana,22/01/2010,Baix Llobregat,Barcelona,0,1,0,2,1,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Atropellament
Carretera,19/11/2010,Alt Emporda,Girona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Carretera,12/02/2010,Segria,Lleida,0,2,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Zona urbana,02/07/2010,Barcelones,Barcelona,1,0,0,2,1,0,1,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Matí,Atropellament
Carretera,31/07/2010,Maresme,Barcelona,0,1,0,1,0,0,1,50,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Nit,Col.lisió d'un vehicle contra un obstacle de la calcada
Zona urbana,09/09/2010,Valles Occidental,Barcelona,0,1,0,2,1,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Atropellament
Carretera,09/04/2010,Urgell,Lleida,1,1,1,2,0,0,2,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Zona urbana,16/12/2010,Valles Occidental,Barcelona,0,1,0,1,0,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Bolcada a la calcada
Carretera,02/06/2010,Alt Urgell,Lleida,0,1,0,1,0,0,1,100,No,Pluja dèbil,No,No,No,No,En secció,Mullat,Feiners,Tarda,Altres
Zona urbana,15/08/2010,Barcelones,Barcelona,1,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,CapDeSetmana,Tarda,Col.lisió de vehicles en marxa
Carretera,16/04/2010,Alt Urgell,Lleida,0,1,2,2,0,0,2,50,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Tarda,Col.lisió de vehicles en marxa
Zona urbana,16/10/2010,Barcelones,Barcelona,0,1,0,3,1,0,2,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,CapDeSetmana,Nit,Atropellament
Carretera,06/07/2010,Alt Penedes,Barcelona,0,1,1,3,0,0,3,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Zona urbana,14/03/2010,Garraf,Barcelona,0,2,0,1,0,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Nit,Col.lisió d'un vehicle contra un obstacle de la calcada
Zona urbana,30/04/2010,Barcelones,Barcelona,0,1,0,2,1,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Nit,Atropellament
Zona urbana,30/07/2010,Bergueda,Barcelona,0,1,0,2,1,0,1,NA,No,Bon temps,No,No,No,Sense especificar,Dintre intersecció,Sec i net,CapDeSetmana,Tarda,Atropellament
Zona urbana,29/12/2010,Barcelones,Barcelona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Nit,Col.lisió de vehicles en marxa
Carretera,19/08/2010,Garraf,Barcelona,0,1,0,1,0,0,1,60,No,Pluja forta,No,Si,No,No,En secció,Mullat,Feiners,Tarda,Col.lisió d'un vehicle contra un obstacle de la calcada
Zona urbana,09/09/2010,Barcelones,Barcelona,0,1,0,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Nit,Col.lisió de vehicles en marxa
Zona urbana,27/10/2010,Maresme,Barcelona,0,1,0,2,1,0,1,NA,Si,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Atropellament
Zona urbana,08/02/2010,Alt Penedes,Barcelona,0,1,0,2,1,0,1,100,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Tarda,Atropellament
Zona urbana,26/07/2010,Garrotxa,Girona,0,1,1,2,0,0,2,100,No,Bon temps,No,No,No,No,Arribant o eixint intersecció fins 50m,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Carretera,14/03/2010,Osona,Barcelona,1,0,1,3,1,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Tarda,Atropellament
Carretera,23/06/2010,Maresme,Barcelona,0,1,0,2,0,0,2,40,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Carretera,07/06/2010,Valles Oriental,Barcelona,0,1,0,2,1,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Atropellament
Carretera,17/11/2010,Baix Emporda,Girona,1,0,1,2,0,0,2,100,No,Bon temps,No,Si,Si,No,En secció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Carretera,10/01/2010,Alt Emporda,Girona,0,1,0,1,0,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Nit,Altres
Carretera,13/05/2010,Urgell,Lleida,0,1,1,2,0,0,2,100,No,Bon temps,No,No,No,No,En secció,Sec i net,Feiners,Tarda,Col.lisió de vehicles en marxa
Zona urbana,12/12/2010,Valles Occidental,Barcelona,1,1,0,1,0,0,1,100,No,Bon temps,No,No,No,No,En secció,Sec i net,CapDeSetmana,Tarda,Col.lisió d'un vehicle contra un obstacle de la calcada
Carretera,14/09/2010,Bages,Barcelona,0,1,0,2,0,1,1,100,No,Bon temps,No,No,Si,Si,Dintre intersecció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
Zona urbana,24/03/2010,Valles Oriental,Barcelona,0,1,0,2,0,1,1,NA,No,Bon temps,No,No,No,No,Dintre intersecció,Sec i net,Feiners,Matí,Col.lisió de vehicles en marxa
