"Zone","Date","Region","Prov","nMortal","nGraveInj","nMinorInj","nInvolv","nPedest","nBikes","nMotor","Vel","Escaped","Weather","TrafficInf","WeatherInf","LightInf","VisionInf","Intersect","Surface","DayGroup","HourGroup","AccType"
"Road",2010-01-09,"AUrgell","Lleida",0,1,0,3,0,0,3,"50","No","Good","No","No","No","No","InSection","Wet","Weekend","Morning","HitVehicle/s"
"Urban",2010-07-11,"Anoia","Barcelona",0,2,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Road",2010-06-09,"Bages","Barcelona",0,1,0,1,0,0,1,NA,"No","StrongRain","No","No","No","No","InSection","Wet","Weekday","Morning","NARoadExit"
"Urban",2010-01-27,"Barcelones","Barcelona",0,1,0,2,0,0,2,"100","Yes","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2010-05-24,"BEmporda","Girona",0,1,3,3,0,0,3,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2010-07-31,"Selva","Girona",0,3,1,3,0,0,3,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Road",2010-08-02,"Bages","Barcelona",0,1,0,2,1,0,1,"100","No","WeakRain","No","No","No","No","Arriving","Wet","Weekday","Afternoon","RunOver"
"Urban",2010-09-23,"Tarragones","Tarragona",0,1,1,2,0,0,2,NA,"NA","Good","No","No","No","NA","InSection","Dry&Clean","Weekday","Night","HitVehicle/s"
"Urban",2010-07-26,"Barcelones","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Night","HitVehicle/s"
"Road",2010-05-12,"APenedes","Barcelona",4,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2010-03-27,"VOccidental","Barcelona",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitObstacle"
"Urban",2010-12-04,"BEbre","Tarragona",0,1,0,3,0,0,3,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Road",2010-08-19,"Girones","Girona",0,1,0,2,0,1,1,"70","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2010-07-28,"Osona","Barcelona",0,1,0,2,1,0,1,NA,"No","Good","No","No","No","Yes","InSection","Dry&Clean","Weekday","Morning","RunOver"
"Road",2010-08-16,"Bages","Barcelona",1,1,0,2,0,0,2,"80","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2010-06-15,"Barcelones","Barcelona",0,1,0,2,0,0,2,"100","No","WeakRain","Yes","No","No","No","InSection","Wet","Weekday","Morning","HitVehicle/s"
"Urban",2010-07-31,"VOriental","Barcelona",1,0,1,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","NARoadExit"
"Road",2010-07-23,"Osona","Barcelona",0,2,1,2,0,0,2,"70","No","WeakRain","No","No","No","No","InSection","Wet","Weekday","Morning","HitVehicle/s"
"Road",2010-11-02,"VOccidental","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2010-02-10,"Barcelones","Barcelona",0,1,0,2,0,0,2,"80","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2010-10-29,"PUrgell","Lleida",1,0,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitObstacle"
"Road",2010-07-25,"Maresme","Barcelona",1,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Night","HitVehicle/s"
"Road",2010-05-15,"VOccidental","Barcelona",0,1,3,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Morning","HitVehicle/s"
"Road",2010-03-01,"VOccidental","Barcelona",0,1,0,3,0,0,3,"80","No","Good","Yes","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2010-01-16,"Barcelones","Barcelona",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Morning","HitObstacle"
"Urban",2010-03-01,"Barcelones","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2010-08-30,"BEmporda","Girona",0,1,0,4,0,0,4,"100","No","Good","No","No","No","Yes","InSection","Dry&Clean","Weekday","Night","HitVehicle/s"
"Urban",2010-07-08,"VOccidental","Barcelona",0,1,0,2,0,0,2,NA,"No","Good","No","No","No","NA","Inside","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Road",2010-03-29,"VOccidental","Barcelona",0,1,2,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Night","HitVehicle/s"
"Road",2010-10-05,"Bages","Barcelona",0,1,0,2,0,1,1,"40","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2010-02-06,"BCamp","Tarragona",1,2,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Road",2010-10-27,"Acamp","Tarragona",0,1,2,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitObstacle"
"Urban",2010-01-22,"BLlobregat","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","RunOver"
"Road",2010-11-19,"AEmporda","Girona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Road",2010-02-12,"Segria","Lleida",0,2,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2010-07-02,"Barcelones","Barcelona",1,0,0,2,1,0,1,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Morning","RunOver"
"Road",2010-07-31,"Maresme","Barcelona",0,1,0,1,0,0,1,"50","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Night","HitObstacle"
"Urban",2010-09-09,"VOccidental","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","RunOver"
"Road",2010-04-09,"Ugerll","Lleida",1,1,1,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Morning","HitVehicle/s"
"Urban",2010-12-16,"VOccidental","Barcelona",0,1,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","Rollover"
"Road",2010-06-02,"AUrgell","Lleida",0,1,0,1,0,0,1,"100","No","WeakRain","No","No","No","No","InSection","Wet","Weekday","Afternoon","Other"
"Urban",2010-08-15,"Barcelones","Barcelona",1,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Road",2010-04-16,"AUrgell","Lleida",0,1,2,2,0,0,2,"50","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Afternoon","HitVehicle/s"
"Urban",2010-10-16,"Barcelones","Barcelona",0,1,0,3,1,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekend","Night","RunOver"
"Road",2010-07-06,"APenedes","Barcelona",0,1,1,3,0,0,3,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
"Urban",2010-03-14,"Garraf","Barcelona",0,2,0,1,0,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Night","HitObstacle"
"Urban",2010-04-30,"Barcelones","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekend","Night","RunOver"
"Urban",2010-07-30,"Bergueda","Barcelona",0,1,0,2,1,0,1,NA,"No","Good","No","No","No","NA","Inside","Dry&Clean","Weekend","Afternoon","RunOver"
"Urban",2010-12-29,"Barcelones","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Night","HitVehicle/s"
"Road",2010-08-19,"Garraf","Barcelona",0,1,0,1,0,0,1,"60","No","StrongRain","No","Yes","No","No","InSection","Wet","Weekday","Afternoon","HitObstacle"
"Urban",2010-09-09,"Barcelones","Barcelona",0,1,0,2,0,0,2,"100","No","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Night","HitVehicle/s"
"Urban",2010-10-27,"Maresme","Barcelona",0,1,0,2,1,0,1,NA,"Yes","Good","No","No","No","No","InSection","Dry&Clean","Weekday","Afternoon","RunOver"
"Urban",2010-02-08,"APenedes","Barcelona",0,1,0,2,1,0,1,"100","No","Good","No","No","No","No","Inside","Dry&Clean","Weekday","Afternoon","RunOver"
"Urban",2010-07-26,"Garrotxa","Girona",0,1,1,2,0,0,2,"100","No","Good","No","No","No","No","Arriving","Dry&Clean","Weekday","Afternoon","HitVehicle/s"
